Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2015-10-10;09:04:04;-8.15;107.49;80; ;mb;5.2;JAVA, INDONESIA;2015-10-10 09:43;463897;
2015-10-10;08:56:04;-60.72;-20.83;10; ;mb;5.5;EAST OF SOUTH SANDWICH ISLANDS;2015-10-10 09:42;463896;
2015-10-10;07:31:08;-19.08;169.55;265; ;mb;5.2;VANUATU;2015-10-10 09:41;463887;
2015-10-10;06:00:22;-24.34;-66.97;159; ;Mw;5.1;SALTA, ARGENTINA;2015-10-12 07:10;463880;
2015-10-09;18:27:34;-31.70;-71.58;20; ;mb;5.4;OFFSHORE COQUIMBO, CHILE;2015-10-10 03:14;463805;
2015-10-09;17:34:48;-32.58;-177.71;2; ;mb;5.1;SOUTH OF KERMADEC ISLANDS;2015-10-10 03:21;463798;
2015-10-09;16:28:26;-0.02;123.99;120; ;mb;5.1;SULAWESI, INDONESIA;2015-10-10 03:16;463793;
2015-10-09;06:08:54;-30.79;-71.53;30; ;mb;5.0;COQUIMBO, CHILE;2015-10-09 13:54;463726;
2015-10-09;02:33:39;-57.57;-24.90;51; ;mb;5.0;SOUTH SANDWICH ISLANDS REGION;2015-10-09 06:57;463714;
2015-10-08;00:05:54;52.43;-168.51;20; ;mb;5.1;FOX ISLANDS, ALEUTIAN ISLANDS;2015-10-08 06:56;463550;
2015-10-07;23:43:25;52.44;-168.52;20; ;Mw;5.1;FOX ISLANDS, ALEUTIAN ISLANDS;2015-10-08 06:55;463544;
2015-10-07;03:50:34;-30.37;-177.73;40;f;mb;5.1;KERMADEC ISLANDS, NEW ZEALAND;2015-10-07 06:48;463441;
2015-10-07;02:30:20;-4.04;-104.10;10;f;Mw;5.4;CENTRAL EAST PACIFIC RISE;2015-10-07 07:41;463432;
2015-10-06;22:48:33;-30.84;-71.49;40; ;Mw;5.0;COQUIMBO, CHILE;2015-10-07 07:39;463409;
2015-10-06;21:27:35;36.10;29.91;51; ;Mw;5.1;WESTERN TURKEY;2015-10-07 07:31;463396;
2015-10-06;10:47:32;-31.44;-71.44;45;f;mb;5.0;COQUIMBO, CHILE;2015-10-06 11:48;463324;
2015-10-06;09:21:24;12.06;-89.06;40;f;mb;5.0;OFF THE COAST OF EL SALVADOR;2015-10-06 11:26;463314;
2015-10-06;08:44:13;-0.47;98.94;50;f;mb;5.0;KEPULAUAN BATU, INDONESIA;2015-10-06 11:16;463308;
2015-10-05;17:35:55;51.91;-179.25;100; ;Mw;5.7;ANDREANOF ISLANDS, ALEUTIAN IS.;2015-10-06 06:57;463190;
2015-10-05;16:33:25;-30.23;-71.44;30; ;Mw;5.9;COQUIMBO, CHILE;2015-10-06 06:56;463182;
2015-10-05;01:09:37;-35.29;179.87;60; ;mb;5.0;OFF E. COAST OF N. ISLAND, N.Z.;2015-10-05 07:27;463082;
2015-10-04;14:50:31;-16.25;-72.22;70; ;Mw;5.3;NEAR COAST OF SOUTHERN PERU;2015-10-05 06:50;463029;
2015-10-04;10:11:56;-30.56;-71.81;30; ;mb;5.3;OFFSHORE COQUIMBO, CHILE;2015-10-04 14:40;463002;
2015-10-04;03:49:48;-30.30;-72.15;4; ;Mw;5.3;OFFSHORE COQUIMBO, CHILE;2015-10-04 06:38;462963;
2015-10-03;19:57:07;-28.69;179.62;9; ;M ;5.1;KERMADEC ISLANDS REGION;2015-10-13 08:10;464387;
2015-10-03;09:43:57;-26.12;70.89;10;f;mb;5.4;INDIAN OCEAN TRIPLE JUNCTION;2015-10-03 12:03;462849;
2015-10-03;08:23:49;11.84;-43.79;10; ;Mw;5.0;NORTHERN MID-ATLANTIC RIDGE;2015-10-03 11:45;462836;
2015-10-03;06:26:54;-30.26;-71.44;30; ;Mw;5.8;COQUIMBO, CHILE;2015-10-03 11:41;462824;
2015-10-03;06:03:42;-37.42;-73.58;10; ;Mw;5.7;BIO-BIO, CHILE;2015-10-03 11:39;462819;
2015-10-03;04:14:09;-33.07;-178.30;10;f;mb;5.1;SOUTH OF KERMADEC ISLANDS;2015-10-03 11:36;462806;
2015-10-02;15:51:54;1.23;125.08;128; ;Mw;5.1;MOLUCCA SEA;2015-10-03 10:02;462720;
2015-10-02;04:28:31;-45.74;-107.34;10; ;Mw;5.2;SOUTHERN EAST PACIFIC RISE;2015-10-02 10:12;462649;
2015-10-01;22:49:30;-16.24;-173.71;100; ;Mw;5.4;TONGA;2015-10-02 06:54;462598;
2015-10-01;02:49:52;-6.25;103.56;40; ;Mw;5.1;SOUTHWEST OF SUMATRA, INDONESIA;2015-10-01 07:01;462459;
2015-10-01;00:49:30;6.50;113.40;10; ;ML;5.2;SOUTH CHINA SEA;2015-10-06 10:00;463318;
2015-10-01;00:05:03;-6.00;103.84;60; ;Mw;5.4;SOUTHWEST OF SUMATRA, INDONESIA;2015-10-01 06:53;462441;
2015-10-01;00:04:30;6.40;103.50;10; ;ML;5.4;GULF OF THAILAND;2015-10-06 10:00;463319;
2015-09-30;17:25:56;18.17;-101.19;64; ;Mw;5.4;GUERRERO, MEXICO;2015-10-01 06:42;462399;
2015-09-30;16:06:54;-56.27;-27.85;124; ;Mw;5.7;SOUTH SANDWICH ISLANDS REGION;2015-10-01 06:40;462389;
2015-09-30;02:11:23;-7.20;154.40;30; ;mb;5.0;BOUGAINVILLE REGION, P.N.G.;2015-09-30 06:50;462328;
2015-09-29;23:20:51;-2.53;140.34;30;f;Mw;5.4;NEAR N COAST OF PAPUA, INDONESIA;2015-09-30 06:46;462294;
2015-09-29;19:53:21;-3.40;146.52;20;f;Mw;5.2;BISMARCK SEA;2015-09-30 06:44;462271;
2015-09-29;18:49:37;13.74;-58.43;10;f;mb;5.0;BARBADOS REGION, WINDWARD ISL.;2015-09-30 06:40;462263;
2015-09-29;17:50:14;1.62;128.60;60;f;mb;5.0;HALMAHERA, INDONESIA;2015-09-30 06:39;462260;
2015-09-29;15:35:21;-5.45;152.10;60; ;Mw;5.2;NEW BRITAIN REGION, P.N.G.;2015-09-30 06:35;462242;
2015-09-29;15:02:19;17.94;-102.19;64; ;Mw;5.1;MICHOACAN, MEXICO;2015-09-30 06:33;462237;
2015-09-29;08:46:53;40.28;143.83;34; ;mb;5.1;OFF EAST COAST OF HONSHU, JAPAN;2015-09-29 14:39;462179;
2015-09-28;15:28:02;-23.84;-66.72;189; ;Mw;6.0;JUJUY, ARGENTINA;2015-09-29 14:44;462041;
2015-09-28;01:02:04;20.06;-45.58;10; ;mb;5.0;NORTHERN MID-ATLANTIC RIDGE;2015-09-28 07:33;461935;
2015-09-28;00:44:25;19.97;-45.34;10;f;mb;5.0;NORTHERN MID-ATLANTIC RIDGE;2015-09-28 01:04;461933;
2015-09-28;00:42:23;20.17;-45.53;10; ;Mw;5.4;NORTHERN MID-ATLANTIC RIDGE;2015-09-29 08:05;461931;
2015-09-28;00:32:34;20.25;-45.70;10;f;Mw;5.4;NORTHERN MID-ATLANTIC RIDGE;2015-09-29 08:07;461929;
2015-09-27;22:39:56;-31.19;-71.90;15; ;mb;5.1;OFFSHORE COQUIMBO, CHILE;2015-09-28 06:46;461920;
2015-09-27;21:04:44;-31.63;-71.62;20; ;Mw;5.0;OFFSHORE COQUIMBO, CHILE;2015-09-27 21:51;461905;
2015-09-27;02:56:14;-7.34;129.68;127; ;Mw;5.6;KEPULAUAN BABAR, INDONESIA;2015-09-27 22:01;461754;
2015-09-26;21:40:34;-56.96;-142.49;10;f;Mw;6.0;PACIFIC-ANTARCTIC RIDGE;2015-09-27 22:07;461719;
2015-09-26;18:17:29;-6.31;151.68;40; ;mb;5.4;NEW BRITAIN REGION, P.N.G.;2015-09-26 23:06;461681;
2015-09-26;17:23:25;5.36;123.84;497; ;Mw;5.5;CELEBES SEA;2015-09-28 07:27;461671;
2015-09-26;14:24:21;-21.34;-175.80;165; ;mb;5.0;TONGA;2015-09-26 23:11;461641;
2015-09-26;13:47:51;24.02;-108.68;10;f;mb;5.0;GULF OF CALIFORNIA;2015-09-26 23:12;461631;
2015-09-26;03:20:50;-20.93;169.00;33; ;mb;5.4;VANUATU;2015-09-26 23:25;461563;
2015-09-26;03:03:20;-30.73;-71.65;35;f;mb;5.1;COQUIMBO, CHILE;2015-09-26 03:22;461560;
2015-09-26;02:51:18;-30.79;-71.25;40;f;Mw;6.3;COQUIMBO, CHILE;2015-09-28 07:23;461556;
2015-09-25;22:58:42;17.12;145.89;27; ;mb;5.0;ALAMAGAN REG, N. MARIANA ISLANDS;2015-09-26 23:29;461534;
2015-09-24;22:35:43;45.42;150.82;33; ;mb;5.0;KURIL ISLANDS;2015-09-25 07:30;461333;
2015-09-24;22:30:36;-33.13;-177.95;10;f;mb;5.1;SOUTH OF KERMADEC ISLANDS;2015-09-25 07:51;461331;
2015-09-24;16:13:24;-30.66;-71.44;34; ;mb;5.5;COQUIMBO, CHILE;2015-09-25 06:46;461275;
2015-09-24;15:57:19;-36.11;-101.02;10;f;mb;5.2;SOUTHEAST OF EASTER ISLAND;2015-09-25 06:42;461271;
2015-09-24;15:56:55;-10.16;160.61;20; ;Mw;6.1;SOLOMON ISLANDS;2015-09-25 06:42;461270;
2015-09-24;15:53:28;-0.57;131.35;25;f;Mw;6.6;NEAR N COAST OF PAPUA, INDONESIA;2015-09-25 06:43;461267;
2015-09-24;13:48:59;50.79;-130.09;10;f;Mw;5.7;VANCOUVER ISLAND, CANADA REGION;2015-09-25 06:41;461251;
2015-09-23;18:47:59;-38.45;176.23;100; ;mb;5.2;NORTH ISLAND OF NEW ZEALAND;2015-09-24 07:25;461112;
2015-09-23;16:18:42;-6.05;103.53;60; ;mb;5.2;SOUTHWEST OF SUMATRA, INDONESIA;2015-09-24 07:22;461095;
2015-09-23;11:32:40;-31.59;-71.86;10;f;mb;5.1;OFFSHORE COQUIMBO, CHILE;2015-09-23 14:32;461074;
2015-09-22;09:22:32;-16.00;168.09;233; ;mb;5.4;VANUATU;2015-09-22 13:45;460848;
2015-09-22;07:13:00;-31.42;-71.09;60; ;Mw;6.1;COQUIMBO, CHILE;2015-09-22 10:56;460827;
2015-09-22;04:03:14;13.13;51.14;10;f;Mw;5.3;GULF OF ADEN;2015-09-22 08:46;460797;
2015-09-21;23:05:59;-5.99;151.42;20;f;mb;5.0;NEW BRITAIN REGION, P.N.G.;2015-09-22 07:36;460762;
2015-09-21;20:26:21;-19.52;-173.44;10; ;mb;5.1;TONGA;2015-09-22 07:25;460722;
2015-09-21;19:56:08;-31.72;-71.56;30; ;Mw;5.7;OFFSHORE COQUIMBO, CHILE;2015-09-22 07:23;460716;
2015-09-21;18:36:52;-31.02;-71.64;20;f;mb;5.6;COQUIMBO, CHILE;2015-09-22 06:52;460705;
2015-09-21;17:39:59;-31.71;-71.43;30; ;Mw;6.6;COQUIMBO, CHILE;2015-09-22 07:46;460695;
2015-09-21;15:37:06;-31.03;-71.79;20;f;Mw;5.3;OFFSHORE COQUIMBO, CHILE;2015-09-22 06:48;460683;
2015-09-21;12:49:23;-31.00;-73.11;20;f;mb;5.0;OFF COAST OF COQUIMBO, CHILE;2015-09-22 06:44;460662;
2015-09-21;11:36:07;-57.33;147.68;10; ;mb;5.0;WEST OF MACQUARIE ISLAND;2015-09-22 07:44;460652;
2015-09-21;05:39:32;-31.56;-71.60;20; ;Mw;6.3;OFFSHORE COQUIMBO, CHILE;2015-09-21 06:35;460604;
2015-09-20;14:31:06;-30.52;-71.73;10; ;mb;5.1;OFFSHORE COQUIMBO, CHILE;2015-09-20 18:18;460500;
2015-09-20;09:02:32;-30.23;-72.32;10; ;mb;5.1;OFFSHORE COQUIMBO, CHILE;2015-09-20 18:19;460447;
2015-09-20;06:07:02;-31.70;-71.87;10; ;mb;5.2;OFFSHORE COQUIMBO, CHILE;2015-09-20 08:00;460423;
2015-09-20;03:01:56;-30.81;-71.32;1; ;mb;5.4;COQUIMBO, CHILE;2015-09-20 08:16;460395;
2015-09-19;18:13:15;-31.29;-71.79;20; ;mb;5.0;OFFSHORE COQUIMBO, CHILE;2015-09-20 08:27;460331;
2015-09-19;13:08:59;-30.56;-71.98;10;f;Mw;5.6;OFFSHORE COQUIMBO, CHILE;2015-09-21 07:53;460299;
2015-09-19;12:52:19;-32.28;-71.89;10; ;Mw;6.2;OFFSHORE VALPARAISO, CHILE;2015-09-19 17:30;460290;
2015-09-19;09:07:08;-31.10;-71.53;30; ;Mw;5.8;COQUIMBO, CHILE;2015-09-21 07:46;460250;
2015-09-19;08:34:40;-6.09;151.36;40; ;mb;5.2;NEW BRITAIN REGION, P.N.G.;2015-09-19 08:55;460240;
2015-09-19;08:31:22;-30.06;-72.27;2; ;mb;5.3;OFFSHORE COQUIMBO, CHILE;2015-09-19 09:07;460248;
2015-09-19;07:23:47;-3.15;136.16;51; ;mb;5.0;PAPUA, INDONESIA;2015-09-19 08:12;460230;
2015-09-19;05:36:03;-5.98;151.46;60; ;mb;5.1;NEW BRITAIN REGION, P.N.G.;2015-09-19 08:18;460213;
2015-09-19;05:06:48;-29.67;-72.01;10;f;Mw;6.0;OFFSHORE COQUIMBO, CHILE;2015-09-21 07:49;460207;
2015-09-19;00:48:38;3.59;127.03;67; ;mb;5.0;KEPULAUAN TALAUD, INDONESIA;2015-09-19 09:09;460163;
2015-09-19;00:28:06;-22.12;169.99;40; ;mb;5.0;SOUTHEAST OF LOYALTY ISLANDS;2015-09-19 09:16;460159;
2015-09-18;22:35:19;-30.25;-72.70;2; ;mb;5.0;OFFSHORE COQUIMBO, CHILE;2015-09-19 09:26;460144;
